layer,latent_mult,k,d_in,d_latent,train_mse,recon_mse,active_frac,effective_l0,dead_feature_frac,top10_row_gap_mean,top1_row_gap,decoder_mean_abs_cos_offdiag,decoder_max_abs_cos_offdiag,decoder_top_features_mean_abs_cos,decoder_top_features_max_abs_cos,top_feature_mean_pairwise_jaccard,top_feature_mean_active_overlap,top1_selectivity_proxy,top3_selectivity_proxy,top5_selectivity_proxy,control1_selectivity_proxy,control3_selectivity_proxy,top5_minus_control3_advantage_proxy
12,2,32,2048,4096,0.021629349295076705,0.021760091185569763,0.0078125,32.0,0.282958984375,2.768200099468231,6.632746696472168,0.0578501016904604,0.9943141041906736,0.15926252163594432,0.41570408058638575,0.10408110501604231,0.21791507259768683,0.07722539256792516,0.1917023090645671,0.26877546310424805,-1.6209014574997127e-05,-1.4119985280558467e-05,0.2687895830895286
12,8,32,2048,16384,0.021634604339655354,0.020798305049538612,0.001953125,32.0,0.367431640625,2.4997137248516084,5.418731689453125,0.05861329913525716,0.990087471940686,0.25172727585079224,0.7725333896498405,0.18381455866079055,0.3170963762188894,0.05123074701987207,0.15528645762242377,0.2525297440588474,-7.203800487332046e-05,-0.00010417919838801026,0.25263392325723544
18,2,8,2048,4096,0.04458598535266711,0.044874407351017,0.001953125,8.0,0.729736328125,2.9358985304832457,8.461406707763672,0.07434236668824064,0.9876867340382219,0.16585346676097054,0.6111356046366296,0.08527441706111706,0.14719013587962618,0.1446950865793042,0.4022596050053835,0.6132467743009329,1.3329659850569442e-05,-0.00033684540539979935,0.6135836197063327
18,4,4,2048,8192,0.06894613764912104,0.06815087795257568,0.00048828125,4.0,0.864990234375,2.4108086585998536,12.016782760620117,0.03044315982723802,0.9940523891952254,0.1946066325623607,0.7436339892789615,0.034505286314069405,0.07925018176029679,0.3680764897726476,0.4992749085649848,0.6046862378716469,-0.0003179593477398157,-0.0005405304254963994,0.6052267682971433
18,2,4,2048,4096,0.07191638096416597,0.07225266098976135,0.0009765625,4.0,0.7900390625,2.956971549987793,8.908158302307129,0.08387234819517493,0.981694591098277,0.18495012997365226,0.7873023899381252,0.04110973620300512,0.06939578828059398,0.20596394361928105,0.5246777292340994,0.5563490763306618,-8.25477036414668e-06,0.00020654022227972746,0.556142536108382
18,8,4,2048,16384,0.07143905190683955,0.07196633517742157,0.000244140625,4.0,0.9498291015625,3.206005001068115,8.87133502960205,0.023757578485500613,0.992036878102884,0.17876850879516598,0.5650838458684588,0.05676732505763116,0.1083255049965292,0.17075217061210424,0.3594418717548251,0.5319188833236694,-2.7271235012449324e-06,-0.00026878438075073063,0.5321876677044202
18,8,16,2048,16384,0.03548613340734578,0.03537169098854065,0.0009765625,16.0,0.80181884765625,2.527830517292023,9.425871849060059,0.04356476223703187,0.9902357410368389,0.1750666549259377,0.6117576041156261,0.0732952897061625,0.1517437388134459,0.24750298727303743,0.42110373079776764,0.5223988518118858,4.842756607104093e-05,4.404679930303246e-05,0.5223548050125828
18,4,8,2048,8192,0.0476069335939644,0.04711245372891426,0.0009765625,8.0,0.784912109375,3.0088547587394716,6.994391441345215,0.041996009292212914,0.9732106524052228,0.12667233658767862,0.5124321831726816,0.08531909424436754,0.18207338808332582,0.12057048664428294,0.33152561634778976,0.48033090494573116,4.985304258298129e-07,-4.915287718176842e-05,0.48038005782291293
18,8,8,2048,16384,0.04614189663808123,0.046068523079156876,0.00048828125,8.0,0.80902099609375,3.0272452890872956,8.328363418579102,0.02589428735740326,0.9870049100150795,0.17257744462836802,0.6181040897126627,0.0702367959522988,0.1536172250717614,0.12755344648030587,0.3242519651539624,0.4267622344195843,-0.00015762867406010628,4.166120197623968e-05,0.42672057321760803
18,4,16,2048,8192,0.030118361772071542,0.02932639792561531,0.001953125,16.0,0.36083984375,2.920730197429657,7.108848571777344,0.07077989998264461,0.9924628661161348,0.15217563672788642,0.5856863575987226,0.10662623544034347,0.23444146705615643,0.084812246466754,0.33219342841766775,0.3838776941411197,-8.28007614472881e-06,8.522343705408275e-05,0.38379247070406564
18,2,16,2048,4096,0.025903861098688283,0.025265177711844444,0.00390625,16.0,0.430419921875,3.029340136051178,7.636574745178223,0.0736549630870389,0.9585293495397051,0.159495693992951,0.4989318175145968,0.08887751102575359,0.24720891143869936,0.10744126926874742,0.23616478545591235,0.3639127896167338,2.7387519367039204e-05,-7.032125722616911e-06,0.3639198217424564
18,4,32,2048,8192,0.020491561189079455,0.019923243671655655,0.00390625,32.0,0.4906005859375,2.8453542232513427,6.445278644561768,0.05546005334103892,0.9889566337112804,0.17832932706161372,0.5621409639150088,0.10212343200102879,0.25047934749885725,0.059565227740677074,0.1771527777891606,0.27722446620464325,8.205464837374166e-06,-4.3459818698465824e-05,0.2772679260233417
18,8,32,2048,16384,0.02033203410105311,0.020382778719067574,0.001953125,32.0,0.5220947265625,2.9334070444107057,5.680954933166504,0.055752112077426,0.9793154713135568,0.26362179993312373,0.7362189002029189,0.1711858950463032,0.28795184025778314,0.05011491128243506,0.16352280415594578,0.26956029841676354,-0.00010177638614550233,-0.00012352442718110979,0.26968382284394465
18,2,32,2048,4096,0.01873720352866238,0.019479859620332718,0.0078125,32.0,0.427001953125,2.851898229122162,5.817431926727295,0.05242985599368887,0.9675596956526304,0.19127549408890326,0.5043042808687468,0.09781778114568054,0.270633939188344,0.06945579487364739,0.1691762323025614,0.23558056401088834,-1.6640879039186984e-05,0.0001248636399395764,0.23545570037094876
24,2,4,2048,4096,0.07279006434644726,0.07337287068367004,0.0009765625,4.0,0.810302734375,2.227777525782585,10.847275733947754,0.06699008071519708,0.9947589256872166,0.20975510513846443,0.545219763685301,0.02001844126306667,0.0590895565600218,0.3041701251640916,0.48291040584445,0.5320660695433617,-0.00022134120808914304,-0.000768088735640049,0.5328341582790017
24,8,4,2048,16384,0.06683927099052951,0.06443856656551361,0.000244140625,4.0,0.9312744140625,2.506189787387848,11.125411033630371,0.022130143684181026,0.992987837263152,0.12886712030956046,0.5966142951174745,0.006330622848798174,0.05656861213136966,0.2951289062621072,0.4423432797193527,0.5207702293992043,-2.2578053176403046e-05,-0.0007015476003289223,0.5214717769995332
24,4,4,2048,8192,0.06798895850456019,0.06736403703689575,0.00048828125,4.0,0.8587646484375,2.3361920416355133,12.17527961730957,0.026498263452605964,0.9918972831586348,0.15654948550296982,0.7595498970344248,0.013356532805773218,0.0769231852937188,0.27158422500360757,0.35679859668016434,0.4399138540029526,-0.0006056611891835928,0.0011756271123886108,0.43873822689056396
24,2,8,2048,4096,0.046524686189435366,0.044658396393060684,0.001953125,8.0,0.547119140625,2.6323776602745057,6.346014022827148,0.09010651448983113,0.9921197662750537,0.15128259871719799,0.6965574006336333,0.03687531228816113,0.11968895086662794,0.11110955948242918,0.2702368856407702,0.38424862921237946,7.436945452354848e-06,-1.2077769497409463e-05,0.38426070698187687
24,4,8,2048,8192,0.04710812298514003,0.04966103285551071,0.0009765625,8.0,0.8961181640625,2.377307516336441,9.3270902633667,0.0423893274190431,0.996217538066461,0.16752489087860603,0.5706214431990899,0.03249301175844508,0.11279077234433951,0.1647995540406555,0.3201106241904199,0.3476180015131831,0.0001119645603466779,0.0001111085875891149,0.347506892925594
24,8,8,2048,16384,0.04873680588688782,0.04684266820549965,0.00048828125,8.0,0.8382568359375,2.6545068979263307,7.8750200271606445,0.027023914663965146,0.9940175586589142,0.1639444971198819,0.5241854277632739,0.03166526826478455,0.11382219756589969,0.13902838341891766,0.2665490717627108,0.33850946463644505,3.7353947845986113e-06,-7.221079431474209e-05,0.3385816754307598
24,8,16,2048,16384,0.04191526199737899,0.047239549458026886,0.0009765625,16.0,0.82525634765625,2.7701545000076293,5.329440593719482,0.03863394915210722,0.9920225116560157,0.15103277080547756,0.42457546420576125,0.067229558701732,0.29779310810144477,0.06905519124120474,0.24002830497920513,0.2709753082599491,-1.4084507711231709e-05,2.4254637537524104e-05,0.27095105362241156
