run_name,score_name,fold,heldout_pos_user,n_test_rows,n_test_pos_rows,day_pr_auc,day_roc_auc,day_top1_recall,n_test_users,n_test_pos_users,user_pr_auc,user_roc_auc,user_top1pct_recall,heldout_user_rank
qwen3_8b_r42_fold_aligned,adapted_nll,26,HXL0968,270060,41,0.012746995855810532,0.9932884578402297,0.7560975609756098,801,1,0.1111111111111111,0.99,0.0,9
qwen3_8b_r42_fold_aligned,base_nll,26,HXL0968,270060,41,0.0005255671130247711,0.8368958498765082,0.04878048780487805,801,1,0.010309278350515464,0.88,0.0,97
qwen3_8b_r42_fold_aligned,neg_delta_nll,26,HXL0968,270060,41,0.00011676760112199821,0.3376734374338066,0.0,801,1,0.0013458950201884253,0.07250000000000001,0.0,743
qwen3_8b_r42_fold_aligned,adapted_nll,27,IJM0776,269976,41,0.005120725452326318,0.9854348856341658,0.34146341463414637,801,1,0.08333333333333333,0.98625,0.0,12
qwen3_8b_r42_fold_aligned,base_nll,27,IJM0776,269976,41,0.010893601116992429,0.9843081012727997,0.5121951219512195,801,1,0.1111111111111111,0.99,0.0,9
qwen3_8b_r42_fold_aligned,neg_delta_nll,27,IJM0776,269976,41,0.00011917031207578878,0.35286945773304956,0.0,801,1,0.001392757660167131,0.10375000000000001,0.0,718
qwen3_8b_r42_fold_aligned,adapted_nll,28,IKR0401,269754,35,0.0013631667071465508,0.9553998261682927,0.0,801,1,0.023255813953488372,0.9475,0.0,43
qwen3_8b_r42_fold_aligned,base_nll,28,IKR0401,269754,35,0.0003258435519487188,0.7899384703551262,0.0,801,1,0.004310344827586207,0.7112499999999999,0.0,232
qwen3_8b_r42_fold_aligned,neg_delta_nll,28,IKR0401,269754,35,0.0001056166055352909,0.37214921561222714,0.0,801,1,0.0014104372355430183,0.11499999999999999,0.0,709
qwen3_8b_r42_fold_aligned,adapted_nll,29,IUB0565,270532,39,0.002388075076895754,0.971962590244764,0.0,801,1,0.02857142857142857,0.9575,0.0,35
qwen3_8b_r42_fold_aligned,base_nll,29,IUB0565,270532,39,0.0006905018057888008,0.8602890050616979,0.05128205128205128,801,1,0.03125,0.96125,0.0,32
qwen3_8b_r42_fold_aligned,neg_delta_nll,29,IUB0565,270532,39,0.00011408674216185563,0.3573193561954824,0.0,801,1,0.001394700139470014,0.10499999999999998,0.0,717
qwen3_8b_r42_fold_aligned,adapted_nll,30,JJM0203,268570,33,0.0015769649490080988,0.9611512255915076,0.12121212121212122,801,1,0.07142857142857142,0.98375,0.0,14
