layer,latent_mult,k,context_mode,feature_set,receiver_type,pair_idx,receiver_row_idx,matched_row_idx,receiver_example_id,matched_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,effect,strong_effect
18,4,8,dept_role,control5_active,benign,40,117115,25410,SHG1281:155,CDE1846:464,1.0,0.44059455394744873,0.39544999599456787,-0.04514455795288086,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,41,44134,25411,FCB0563:305,CDE1846:465,1.0,0.6249877214431763,0.6529411673545837,0.02795344591140747,5,4,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,42,48040,25412,GDS3165:416,CDE1846:466,0.25,0.3840295672416687,0.3824617862701416,-0.0015677809715270996,5,9,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,43,45920,25413,FNW3564:296,CDE1846:469,0.25,0.5126172304153442,0.46360450983047485,-0.049012720584869385,5,4,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,44,44073,25414,FCB0563:219,CDE1846:470,0.75,0.6251177191734314,0.6798503994941711,0.054732680320739746,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,45,53840,25415,HBM0676:352,CDE1846:471,0.25,0.5644526481628418,0.5407891273498535,-0.02366352081298828,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,46,107014,25416,RBB0585:501,CDE1846:472,0.75,0.38355106115341187,0.4623910188674927,0.07883995771408081,5,9,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,47,104149,25417,PWM0708:74,CDE1846:473,0.75,0.45570966601371765,0.5010656714439392,0.04535600543022156,5,5,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,48,4341,25418,AFP2709:97,CDE1846:476,0.25,0.41874152421951294,0.4173167049884796,-0.0014248192310333252,5,7,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,49,116027,25419,SDM3560:479,CDE1846:477,0.75,0.4798145592212677,0.4811069667339325,0.001292407512664795,5,9,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,50,73290,25420,KRB3120:171,CDE1846:478,0.75,0.47778263688087463,0.4103412330150604,-0.06744140386581421,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,51,133943,30006,WEC3721:288,CMP2946:401,0.25,0.3714171350002289,0.3845406472682953,0.013123512268066406,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,52,99390,30007,NVH3726:267,CMP2946:402,0.5,0.48731306195259094,0.48861050605773926,0.0012974441051483154,5,5,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,53,27581,30008,CHL3430:80,CMP2946:403,0.5,0.26212063431739807,0.2429478019475937,-0.019172832369804382,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,54,19646,30009,BSS2956:413,CMP2946:406,1.0,0.34228768944740295,0.3172668218612671,-0.025020867586135864,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,55,99349,30010,NVH3726:207,CMP2946:407,0.25,0.5001906752586365,0.471802681684494,-0.028387993574142456,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,56,51257,30011,GSH1593:338,CMP2946:408,0.5,0.635344386100769,0.6169745326042175,-0.018369853496551514,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,57,72770,30012,KMS0954:450,CMP2946:409,0.75,0.2785175144672394,0.2963901162147522,0.017872601747512817,5,12,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,58,19447,30013,BSS2956:122,CMP2946:410,0.75,0.3088785409927368,0.29925283789634705,-0.00962570309638977,5,6,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,59,134030,30014,WEC3721:416,CMP2946:413,1.0,0.35892292857170105,0.3545350730419159,-0.004387855529785156,5,6,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,60,70657,30015,KEM2934:486,CMP2946:414,1.0,0.5171945691108704,0.452462762594223,-0.06473180651664734,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,61,131188,30016,VNC1607:58,CMP2946:415,1.0,0.5032387971878052,0.5466487407684326,0.04340994358062744,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,62,95663,30017,NGR2884:382,CMP2946:416,0.75,0.5480289459228516,0.4940289855003357,-0.05399996042251587,5,10,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,63,54046,30018,HCM2945:135,CMP2946:417,0.25,0.3986234962940216,0.40022796392440796,0.0016044676303863525,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,64,141963,30019,ZNA0921:364,CMP2946:420,0.25,0.44977933168411255,0.4046308100223541,-0.04514852166175842,5,10,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,65,54802,30020,HGD1664:196,CMP2946:421,0.25,0.5451398491859436,0.6045622825622559,0.059422433376312256,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,66,72708,30021,KMS0954:359,CMP2946:422,0.75,0.31398805975914,0.3067294657230377,-0.007258594036102295,5,8,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,67,100992,30022,OKH3777:9,CMP2946:423,0.25,0.49365073442459106,0.448822945356369,-0.044827789068222046,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,68,191,30023,AAS3428:227,CMP2946:424,0.25,0.3880326747894287,0.3460196554660797,-0.042013019323349,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,69,40568,83551,DSB2734:305,MBG3183:283,0.5,0.37907782196998596,0.4028361439704895,0.02375832200050354,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,0,1692,98359,ACM2278:228,NRN2936:161,0.75,0.34236299991607666,0.3587481677532196,0.016385167837142944,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,1,1693,114635,ACM2278:231,SAM3782:14,0.25,0.3368968963623047,0.35066044330596924,0.01376354694366455,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,2,1694,26797,ACM2278:232,CET3786:198,0.25,0.3103208541870117,0.3188877999782562,0.008566945791244507,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,3,1695,70338,ACM2278:233,KEM2934:25,0.25,0.444414883852005,0.45849981904029846,0.014084935188293457,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,4,1696,72374,ACM2278:234,KMB3781:394,1.0,0.4246574342250824,0.44596797227859497,0.021310538053512573,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,positive,5,25375,69182,CDE1846:415,KCM2495:428,0.75,0.48000627756118774,0.44694387912750244,-0.0330623984336853,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,6,25376,105910,CDE1846:416,QKO2718:450,1.0,0.476402223110199,0.45267271995544434,-0.02372950315475464,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,7,25377,4549,CDE1846:417,AFP2709:314,0.75,0.4381938576698303,0.41619327664375305,-0.02200058102607727,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,8,25378,104189,CDE1846:420,PWM0708:133,1.0,0.41655200719833374,0.37311092019081116,-0.04344108700752258,5,12,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,9,25379,13244,CDE1846:421,BGH2610:249,1.0,0.4224047064781189,0.3888459801673889,-0.03355872631072998,5,10,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,10,25380,84834,CDE1846:422,MCO3164:80,0.5,0.4740689694881439,0.42061638832092285,-0.05345258116722107,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,11,25381,69218,CDE1846:423,KCM2495:478,0.5,0.4615910053253174,0.41540372371673584,-0.04618728160858154,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,12,25382,38841,CDE1846:424,DNV1964:507,0.5,0.4656012952327728,0.4124293029308319,-0.05317199230194092,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,13,25383,23334,CDE1846:427,CCB0547:37,0.75,0.4605143070220947,0.4505857229232788,-0.009928584098815918,5,6,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,positive,14,25384,84967,CDE1846:428,MCO3164:273,0.75,0.4696827530860901,0.4612169861793518,-0.008465766906738281,5,5,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,positive,15,25385,119051,CDE1846:429,SLS0834:137,0.75,0.48370906710624695,0.4781903028488159,-0.00551876425743103,5,6,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,positive,16,25386,29042,CDE1846:430,CLE3098:36,0.75,0.4298016130924225,0.4266640841960907,-0.003137528896331787,5,3,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,positive,17,25387,73695,CDE1846:431,KRD2100:16,0.75,0.46182042360305786,0.4554700553417206,-0.00635036826133728,5,6,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,positive,18,25388,104315,CDE1846:434,PWM0708:312,0.75,0.41756606101989746,0.3994971215724945,-0.018068939447402954,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,19,25389,36808,CDE1846:435,DJP3230:158,0.75,0.4810541868209839,0.4586751163005829,-0.022379070520401,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,20,25390,135732,CDE1846:436,WRF3534:222,0.75,0.4580255448818207,0.4387941360473633,-0.019231408834457397,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,21,25391,74006,CDE1846:437,KRD2100:464,0.5,0.454647958278656,0.43563759326934814,-0.01901036500930786,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,22,25392,106898,CDE1846:438,RBB0585:331,0.75,0.453688383102417,0.43292248249053955,-0.02076590061187744,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,23,25393,104148,CDE1846:441,PWM0708:73,0.5,0.4744405746459961,0.4609025716781616,-0.013538002967834473,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,24,25394,96746,CDE1846:442,NJO1460:403,0.5,0.4234159290790558,0.4130137860774994,-0.010402143001556396,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,25,25395,73217,CDE1846:443,KRB3120:66,0.5,0.48396870493888855,0.4678551256656647,-0.016113579273223877,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,26,25396,121861,CDE1846:444,SSH1845:403,0.75,0.4358266294002533,0.42477697134017944,-0.011049658060073853,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,27,25397,109149,CDE1846:445,RHO0678:384,0.75,0.4287758469581604,0.41691654920578003,-0.011859297752380371,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,28,25398,105754,CDE1846:448,QKO2718:224,0.75,0.45171621441841125,0.44045528769493103,-0.011260926723480225,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,29,25399,126570,CDE1846:449,TRW3172:235,1.0,0.5384507179260254,0.5171970129013062,-0.02125370502471924,5,13,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,30,25400,135855,CDE1846:450,WRF3534:372,1.0,0.4665936231613159,0.45014986395835876,-0.016443759202957153,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,31,25401,14845,CDE1846:451,BJW3558:274,1.0,0.4562937617301941,0.43735793232917786,-0.018935829401016235,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,32,25402,3903,CDE1846:452,AFB3228:23,1.0,0.4688948690891266,0.44830769300460815,-0.020587176084518433,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,33,25403,28195,CDE1846:455,CJC1433:424,0.5,0.437348872423172,0.41116446256637573,-0.026184409856796265,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,34,25404,101991,CDE1846:456,PAA2738:276,0.75,0.4546266794204712,0.43760669231414795,-0.017019987106323242,5,11,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,35,25405,29372,CDE1846:457,CLE3098:512,0.75,0.4495765268802643,0.42818281054496765,-0.02139371633529663,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,36,25406,28245,CDE1846:458,CJC1433:493,0.75,0.47377797961235046,0.44675543904304504,-0.02702254056930542,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,37,25407,21128,CDE1846:459,BXK2091:450,0.75,0.4813075065612793,0.4543904662132263,-0.02691704034805298,5,4,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,38,25408,14755,CDE1846:462,BJW3558:143,0.75,0.44189369678497314,0.43416476249694824,-0.007728934288024902,5,3,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,positive,39,25409,7086,CDE1846:463,AKP3573:59,0.75,0.4770914614200592,0.46523287892341614,-0.011858582496643066,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,40,25410,117115,CDE1846:464,SHG1281:155,0.75,0.44748130440711975,0.4306314289569855,-0.016849875450134277,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,41,25411,44134,CDE1846:465,FCB0563:305,0.75,0.4379540681838989,0.42311862111091614,-0.014835447072982788,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,42,25412,48040,CDE1846:466,GDS3165:416,0.75,0.4663989841938019,0.4540344178676605,-0.012364566326141357,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,43,25413,45920,CDE1846:469,FNW3564:296,0.75,0.5547977685928345,0.5239859819412231,-0.030811786651611328,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,44,25414,44073,CDE1846:470,FCB0563:219,0.75,0.5187341570854187,0.4945502281188965,-0.024183928966522217,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,45,25415,53840,CDE1846:471,HBM0676:352,0.75,0.4709838032722473,0.44750455021858215,-0.02347925305366516,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,46,25416,107014,CDE1846:472,RBB0585:501,0.75,0.4431593418121338,0.4243169128894806,-0.018842428922653198,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,positive,47,25417,104149,CDE1846:473,PWM0708:74,0.75,0.510485053062439,0.490485817193985,-0.01999923586845398,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
