feature_id,row_gap,row_support_gap,row_mean_pos,row_mean_neg,row_active_frac
10664,0.015183764759933166,0.0018362400941144483,0.017358535600129166,0.0021747708401960004,0.0006905
11216,0.015139619856352503,0.000718373371461335,0.03945719784016729,0.024317577983814787,0.0013785
1983,0.015116470457000753,0.0006759161067200717,0.03714576484765183,0.022029294390651075,0.0014205
7728,0.015089278616715527,0.0008585272108557164,0.01896787057237262,0.003878591955657093,0.0002185
12746,0.015066848699257744,0.0014652679366057488,0.020106997241991588,0.0050401485427338435,0.0007325
15443,0.014950253171491843,0.0017035871883359266,0.0193056779208843,0.004355424749392456,0.000961
12161,0.014937147002673,0.0006094997815422895,0.026363356786407357,0.011426209783734357,0.0013005
8113,0.014714668344057963,0.0003624838019865784,0.02506862543419543,0.010353957090137467,0.0005235
3779,0.014523226945066466,0.000564382484783589,0.01824314747016078,0.003719920525094313,0.0001845
16235,0.014523181172489564,0.0008812487087604814,0.02087743722850123,0.0063542560560116675,0.000521
239,0.014458293901016536,0.0010403695901422855,0.03125391143720905,0.016795617536192513,0.0016635
12282,0.01438646901170842,0.001203778998795674,0.025612826179107696,0.011226357167399276,0.001409
14476,0.014236719179129265,0.0007335887733733537,0.04525465903286593,0.031017939853736663,0.001642
5566,0.01423125296204485,0.0009732446114101049,0.03163926112175873,0.01740800815971388,0.0013585
13068,0.014208571845159671,0.000830633949924813,0.041383275480987636,0.027174703635827965,0.001546
15932,0.01408925724958457,-1.3097419467647791e-05,0.07898191243493126,0.06489265518534669,0.003402
16143,0.01407434437361223,0.0016350969955708024,0.017700183491188834,0.003625839117576604,0.0005645
4094,0.013980978225971757,0.0015939293864371462,0.02042336808163033,0.006442389855658571,0.0007445
5346,0.01395169166651631,0.0006713098586164825,0.015163140022433678,0.001211448355917368,0.000218
3340,0.013930702137014628,0.00048790938012421636,0.020316547138777286,0.006385845001762657,0.000353
3535,0.013925519938946949,0.0011078906639737456,0.01885049966273755,0.0049249797237906,0.0004825
10571,0.013801239892963705,0.0009460262139303435,0.02889967646550114,0.015098436572537436,0.001339
2972,0.013768893352393752,0.003322538615541189,0.02196501477957879,0.008196121427185036,0.002145
6554,0.013594358537589989,0.0009116274195086654,0.025922131095645378,0.012327772558055389,0.0007695
14120,0.0135165693952163,0.0020203257608116293,0.021289545076249812,0.007772975681033511,0.0010655
8021,0.013513317041128799,0.001516171788547053,0.021246462623167612,0.007733145582038812,0.0017035
1423,0.013436629160023465,0.003016461289949769,0.01946733403560068,0.006030704875577216,0.00138
8440,0.013398129212642775,0.000557381832418715,0.016633669358220717,0.0032355401455779424,0.000145
8838,0.013335993745701394,0.0007286281984925653,0.019537118683286364,0.006201124937584969,0.000347
15596,0.01328148676434325,0.0019283298581620055,0.016433930751230282,0.0031524439868870317,0.000228
7,0.013254075853628896,0.00045945342011270105,0.025359162115453013,0.012105086261824117,0.000474
9054,0.013076786614101228,0.0007316608602597984,0.018888615455025307,0.005811828840924079,0.000344
12617,0.013045019655930627,0.00025616089555637706,0.017325115823701453,0.004280096167770826,0.000118
7011,0.012969878105353418,0.0007811004743933389,0.037899480446024744,0.024929602340671327,0.001595
6124,0.012966953812905834,0.0005034035503880977,0.021533529843681922,0.008566576030776088,0.0007555
14574,0.012914746799706002,0.004772525916563355,0.023738167185194534,0.010823420385488532,0.0045175
6046,0.012871183092201439,0.0009292658534083387,0.01862559008620465,0.00575440699400321,0.0004735
6561,0.012800418650403426,0.001007156265176508,0.02025618337876507,0.007455764728361641,0.000675
4012,0.012717641558922028,0.001520715618821016,0.01636239011861045,0.003644748559688421,0.0007705
4996,0.012679399505639424,0.0006657837688131443,0.04350907872314241,0.030829679217502983,0.0017555
12964,0.01259704468199039,0.00039407660991703293,0.02923635899633197,0.01663931431434158,0.0009565
7383,0.01252791683500402,0.0007985356983664861,0.027742656536863818,0.015214739701859797,0.0011135
6045,0.01246878866536002,0.0002467372112038484,0.02201046064814264,0.009541671982782619,0.000638
2781,0.012462947365442897,0.0008339636830165056,0.018376398529293587,0.005913451163850689,0.0004285
9422,0.012418048046008056,0.0014667842674893653,0.017830943308611544,0.005412895262603488,0.000731
12556,0.012401734569292507,0.0005109823889642429,0.035856977644737054,0.023455243075444547,0.004787
8272,0.012373351309104155,0.0009813368718329463,0.02680273638240917,0.014429385073305016,0.002279
10377,0.012372483915174093,0.0010763785768455139,0.022225000200829466,0.009852516285655373,0.0009315
1369,0.012368268541607077,0.0007911520914980429,0.01855431310313658,0.0061860445615295025,0.000378
9817,0.012357527385194241,0.0008048797902528147,0.030866706338101443,0.018509178952907202,0.0012465
1752,0.01234355124905607,0.0006912253700300237,0.018519589185936096,0.0061760379368800255,0.000384
14023,0.012291616025931602,0.0008285600823374711,0.030578205495823723,0.01828658946989212,0.0012695
419,0.012258182961098214,0.0016586547985311556,0.022342484757760774,0.01008430179666256,0.001284
7353,0.012144580657558872,0.0014349413189334178,0.016231399503369628,0.0040868188458107555,0.0007625
9634,0.012126613948726436,0.0015270127800083783,0.01944205464316167,0.007315440694435234,0.0015535
9856,0.012075645419832526,-6.828182046171149e-05,0.03478125625998197,0.022705610840149444,0.0007175
7748,0.01198543642047399,0.0011306642549543634,0.024903836351029832,0.012918399930555843,0.0010635
14841,0.011985051826135337,0.00011732017711908608,0.02670887682099196,0.014723824994856624,0.001091
6475,0.011977011273078025,0.0013707499781936505,0.015862103602126892,0.0038850923290488686,0.000826
5240,0.011970922154931854,-0.00016450383255329354,0.0626836569085648,0.05071273475363294,0.0034125
13953,0.011890285991822944,0.0015009329212855506,0.039398361381382,0.02750807538955906,0.001765
7567,0.01184947588857488,0.0003796688853342327,0.019181590049269028,0.007332114160694148,0.0005065
15461,0.011834566113089657,0.00028128196009931324,0.015814626560016372,0.003980060446926716,0.000186
11833,0.011734694943648837,0.0008534023785285443,0.021171213380694942,0.009436518437046106,0.0011985
4199,0.011704997751753883,0.0011492380176844445,0.020094831430369654,0.00838983367861577,0.000813
872,0.011702608628308658,0.0005870518896125009,0.014717117192685439,0.003014508564376781,0.0002085
10519,0.011699688166065019,0.00135493010887894,0.020548008123590863,0.008848319957525844,0.0009345
15160,0.011697492920385789,0.0006531138880130838,0.014186403966104974,0.0024889110457191857,0.000236
12349,0.011683435581724601,0.0020566369812162035,0.012645111110549119,0.000961675528824518,0.0001475
15612,0.011678904058688652,0.0008397554005759953,0.02536762724790511,0.013688723189216458,0.001212
11374,0.011614976797746368,0.0006902144827742793,0.017659268073716868,0.006044291275970501,0.000385
3830,0.01160254094437169,0.0018194328028934765,0.014448144774583057,0.002845603830211368,0.000475
2616,0.011560258672281633,0.0006929970039160195,0.023038439631130038,0.011478180958848404,0.0008465
11232,0.011543830396687054,0.0010276762439927413,0.0152781032807537,0.0037342728840666453,0.000469
5318,0.011502789683403503,0.0007153928027699551,0.032874987760736864,0.02137219807733336,0.00166
12221,0.011484761924530535,0.0011574579296084755,0.035492977148532424,0.02400821522400189,0.0019655
15870,0.011459277444511792,0.0007015191495413965,0.03982477482536266,0.028365497380850868,0.001813
6331,0.011449477271887741,0.0016309544227730052,0.017029488651201255,0.005580011379313515,0.00094
10443,0.011445550277148806,0.0014221306460364572,0.019666529631548274,0.008220979354399468,0.001193
3644,0.011443880621742744,0.0005865985390604817,0.01728985263112528,0.005845972009382534,0.0004875
3826,0.011401806284997783,0.0005800512372476268,0.013060718968496792,0.0016589126834990085,0.000169
9502,0.011324398810204103,0.0003726447676198751,0.02325518259098935,0.011930783780785248,0.000792
5307,0.01130889608560921,0.0008247718363168727,0.0274482414140232,0.01613934532841399,0.0017375
15576,0.011227994555106913,0.00053757050715688,0.018241306356290145,0.007013311801183231,0.000536
5686,0.011144272364826447,0.0008099107611820534,0.03432884092339788,0.02318456855857143,0.0015665
5681,0.01113855321819569,0.000770486158208023,0.03477580824048849,0.0236372550222928,0.0016055
3631,0.011134954489339901,0.001620618874939552,0.01820807133212395,0.007073116842784048,0.0010895
1591,0.011124456892709321,0.0009100069024733427,0.013361097511142742,0.0022366406184334206,0.000214
5458,0.011063015235055262,0.001100663336332862,0.016336769767679764,0.005273754532624502,0.0005825
3349,0.011042102273689429,0.0017989362894267266,0.012456747372059658,0.0014146450983702292,0.000356
2853,0.011036603827839516,0.0015147258537118865,0.01948042195930233,0.008443818131462813,0.00073
2752,0.01100879211173281,0.0006152577089985231,0.01892570397758661,0.0079169118658538,0.000552
12655,0.011008248596616999,0.0007813506150188318,0.025157349908805714,0.014149101312188715,0.0011305
1298,0.010977235669554697,0.0005114620207076828,0.013049024365627887,0.0020717886960731906,0.000144
7295,0.010948762255987007,0.0013138615235201035,0.016824340991876473,0.005875578735889468,0.000743
7961,0.010818713708717162,0.001968108787913235,0.012330053515642356,0.0015113398069251933,0.0002815
6091,0.010800544713956745,0.0012951601092888326,0.019842789974496004,0.00904224526053926,0.0007615
8600,0.010756022771225691,0.00079525289597376,0.03044802586901708,0.01969200309779139,0.001581
